VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,Start,Destination
1,2022-04-29T01:31:21.000Z,2022-04-29T01:32:30.000Z,2.0,0.0,1.0,N,249,249,3,3.0,3.0,0.5,0.0,911.87,0.3,918.67,2.5,0.0,West Village,West Village
1,2022-02-18T00:33:30.000Z,2022-02-18T00:35:28.000Z,1.0,1.3,1.0,N,265,265,1,3.0,0.5,0.5,19.85,95.0,0.3,119.15,0.0,0.0,NA,NA
