VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,Start,Destination
1,2022-06-12T13:51:46.000Z,2022-06-12T14:56:48.000Z,9.0,22.0,1.0,N,142,132,2,67.5,2.5,0.5,0.0,800.09,0.3,870.89,2.5,0.0,Lincoln Square East,JFK Airport
1,2022-03-11T18:08:32.000Z,2022-03-11T18:09:45.000Z,1.0,0.0,1.0,N,265,265,1,2.5,1.0,0.5,48.0,235.7,0.3,288.0,0.0,0.0,NA,NA
